City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
333,Dzilam Gonzalez,MX,87.73,clear sky,21.2833,-88.9333,posadas
336,Sao Jose Da Coroa Grande,BR,78.98,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
338,Puerto Escondido,MX,88.34,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
339,Morgan City,US,85.01,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
341,Harper,LR,77.52,overcast clouds,4.375,-7.7169,Screensaver
347,Lompoc,US,75.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
349,Sarangani,PH,81.09,overcast clouds,5.4033,125.4636,Ballistic Islet
350,Espanola,US,79.27,clear sky,35.9911,-106.0806,Santa Claran Hotel Casino
351,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
355,Sola,VU,81.82,overcast clouds,-13.8833,167.55,Leumerus Bungalows
356,Kieta,PG,80.04,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
360,Itarema,BR,79.16,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
363,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
365,Isangel,VU,80.53,overcast clouds,-19.55,169.2667,Tanna Lodge
366,Cape Canaveral,US,84.2,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
373,Kissidougou,GN,76.55,light rain,9.1848,-10.0999,Hôtel Mantis
374,Da Nang,VN,75.18,few clouds,16.0678,108.2208,Grand Mercure Danang
377,Brenham,US,87.85,overcast clouds,30.1669,-96.3977,Hampton Inn & Suites Brenham
383,Sabang,ID,82.58,broken clouds,5.8933,95.3214,Hotel Citra
384,La Reforma,MX,87.53,overcast clouds,25.0833,-108.05,Hotel Reforma
386,Paracuru,BR,82.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
387,Cockburn Town,TC,78.76,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
390,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
392,Howard Springs,AU,78.71,scattered clouds,-12.497,131.047,buffalo beach hostel
403,Manadhoo,MV,83.75,overcast clouds,5.7667,73.3833,Bon Abri maldives
408,Fairview Shores,US,89.1,clear sky,28.5911,-81.3942,"Motel 6 Orlando, FL - Winter Park"
410,Katobu,ID,75.2,overcast clouds,-4.9408,122.5276,La Ode Husein
414,Namatanai,PG,82.06,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
425,Samarai,PG,81.91,light rain,-10.6167,150.6667,Nuli Sapi
427,Manokwari,ID,78.8,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
429,Vao,NC,76.98,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
440,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
443,Labuhan,ID,79.68,broken clouds,-6.8844,112.2051,DoubleFAG
444,Polewali,ID,76.41,overcast clouds,-3.4324,119.3435,Lilianto Hotel
445,Lamu,KE,80.82,moderate rain,-2.2717,40.902,Lamu House
