City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Ribeira Grande,PT,38.5167,-28.7,58.51,71,12,19.01,few clouds
79,Souillac,MU,-20.5167,57.5167,77.52,88,78,13.98,light rain
80,Saint-Philippe,RE,-21.3585,55.7679,74.79,88,73,13.38,light rain
81,Kodiak,US,57.79,-152.4072,42.31,70,100,9.22,overcast clouds
82,Gamba,GA,-2.65,10.0,77.97,90,100,4.34,overcast clouds
83,Nikolskoye,RU,59.7035,30.7861,37.8,78,100,3.91,overcast clouds
84,Raudeberg,NO,61.9875,5.1352,47.07,80,100,10.25,overcast clouds
85,Hasaki,JP,35.7333,140.8333,48.6,68,56,7.16,broken clouds
86,Provideniya,RU,64.3833,-173.3,32.36,93,100,25.01,snow
87,Saldanha,ZA,-33.0117,17.9442,59.56,82,0,10.4,clear sky
88,Ifakara,TZ,-8.1333,36.6833,70.86,96,92,0.89,light rain
89,Sandy Bay,AU,-42.913,147.3532,55.09,91,75,9.22,broken clouds
90,Tuktoyaktuk,CA,69.4541,-133.0374,13.84,78,100,10.49,overcast clouds
91,Butaritari,KI,3.0707,172.7902,81.52,74,12,12.35,few clouds
92,Beringovskiy,RU,63.05,179.3167,30.43,97,100,12.71,snow
93,Sitka,US,57.0531,-135.33,46.29,57,40,8.05,scattered clouds
94,Elbistan,TR,38.2059,37.1983,56.86,45,100,4.88,overcast clouds
95,Wonopringgo,ID,-6.9833,109.6167,74.66,88,98,2.68,overcast clouds
96,Mus,TR,39.0,41.75,43.43,56,98,2.98,overcast clouds
97,Torbay,CA,47.6666,-52.7314,43.88,91,100,10.65,overcast clouds
98,Valle De Allende,MX,26.9333,-105.4,86.79,5,13,10.02,few clouds
99,Bengkulu,ID,-3.8004,102.2655,75.47,93,93,4.81,overcast clouds
100,Jaleswar,NP,26.6471,85.8008,78.17,60,0,13.96,clear sky
101,Deputatskiy,RU,69.3,139.9,-2.61,100,100,1.9,overcast clouds
102,Correntina,BR,-13.3433,-44.6367,72.07,90,38,4.54,scattered clouds
103,Kipini,KE,-2.5257,40.5262,80.89,78,100,15.43,light rain
104,Moose Factory,CA,51.2585,-80.6094,26.58,59,100,8.05,overcast clouds
105,Weinan,CN,34.5036,109.5089,49.37,58,8,7.07,clear sky
106,Skibbereen,IE,51.55,-9.2667,47.1,78,5,10.69,clear sky
107,Tamesis,CO,5.6646,-75.7134,71.49,82,98,2.98,overcast clouds
108,Victoria,HK,22.2855,114.1577,72.18,79,100,10.0,overcast clouds
109,Shizuishan,CN,39.2333,106.7694,42.78,49,13,10.96,few clouds
110,Mantua,IT,45.1667,10.7833,49.05,61,71,4.34,broken clouds
